,nibles_id,ra,dec,z,logMstar,logMHI,logfgas
36,70,7.530416666666665,11.113638888888888,0.011756666666666667,10.45,9.45,-0.99
37,71,7.537499999999998,9.953277777777776,0.017096666666666666,9.85,9.37,-0.47
38,72,7.6241666666666665,8.783277777777778,0.01796,10.01,9.67,-0.34
39,73,7.805416666666667,10.483722222222221,0.011666666666666667,6.64,9.85,3.2
40,74,7.84125,10.407083333333334,0.0122,8.06,9.7,1.64
41,75,7.842916666666666,10.378527777777778,0.011746666666666667,7.78,9.6,1.82
42,76,7.864583333333333,10.67586111111111,0.01174,7.71,9.45,1.74
43,77,7.899874999999999,10.504805555555556,0.011943333333333334,8.6,9.85,1.25
44,79,7.919583333333334,9.576194444444445,0.011316666666666666,7.7,8.52,0.82
45,80,8.130416666666665,10.689472222222223,0.01052,7.81,8.55,0.74
46,81,8.203999999999999,10.012138888888888,0.012863333333333333,8.97,9.23,0.26
47,82,8.342083333333333,1.1213055555555556,0.00663,8.27,9.4,1.14
48,83,8.511666666666665,9.705333333333332,0.01244,11.08,10.04,-1.04
49,85,8.741249999999999,9.342194444444445,0.02314,10.75,9.27,-1.47
50,86,8.859583333333333,9.760305555555556,0.013593333333333334,8.72,8.74,0.02
51,88,9.120416666666666,10.10613888888889,0.01963,10.75,9.66,-1.08
52,89,9.16,10.14561111111111,0.020106666666666665,7.48,9.61,2.12
53,90,9.294166666666666,9.456972222222221,0.01743,9.58,9.2,-0.38
54,93,9.807291666666666,0.8617777777777778,0.013923333333333333,10.9,9.27,-1.63
55,94,9.83375,10.482055555555556,0.036316666666666664,10.94,10.0,-0.95
56,95,9.845416666666667,8.823444444444444,0.019183333333333333,7.54,9.17,1.63
57,96,9.895,0.8599444444444444,0.0146,10.32,9.59,-0.74
58,97,9.899166666666666,9.194527777777777,0.016313333333333332,10.49,9.72,-0.77
59,98,9.909583333333332,14.664222222222223,0.017396666666666668,10.21,9.26,-0.95
60,101,10.298333333333332,15.052694444444445,0.016863333333333334,9.61,9.08,-0.53
61,102,10.317499999999999,15.217083333333333,0.017563333333333334,9.42,9.05,-0.37
62,103,10.349583333333332,0.06497222222222222,0.013296666666666667,8.62,8.86,0.24
63,104,10.372916666666665,10.013194444444444,0.01345,9.15,9.08,-0.07
64,105,10.391249999999998,10.021416666666667,0.013106666666666668,10.94,9.31,-1.63
65,107,10.408333333333331,0.2576111111111111,0.018053333333333334,9.06,9.46,0.4
66,110,10.885,14.342555555555556,0.014816666666666667,10.62,9.5,-1.12
67,111,10.966125,0.8019444444444445,0.018123333333333335,9.87,9.69,-0.19
68,113,11.09708333333333,14.287694444444444,0.013973333333333334,8.15,8.67,0.52
69,114,11.394583333333332,10.987222222222222,0.013676666666666667,8.29,8.92,0.63
70,115,11.466333333333331,9.328194444444444,0.02036,10.16,9.57,-0.59
71,117,11.536666666666667,10.408611111111112,0.013033333333333333,7.6,8.94,1.34
72,118,11.696083333333334,0.7008055555555555,0.01583,8.89,8.93,0.05
73,119,11.943458333333332,9.835027777777778,0.019096666666666668,10.89,9.37,-1.52
74,120,11.947916666666664,9.899527777777777,0.00448,8.25,9.06,0.82
75,121,12.320833333333331,8.772944444444445,0.01463,6.86,8.87,2.01
76,122,12.470749999999999,0.9608055555555555,0.015333333333333332,9.71,9.57,-0.14
77,123,12.614583333333332,8.7185,0.015083333333333334,8.99,8.54,-0.45
